ElementName,ElementAddress,Latitude,Longitude
Ayam Goreng Jakarta ,Kertajaya 210 ,112.7598549,-7.279391
Ayam Goreng Jakarta ,Kusuma Bangsa 85 ,112.74999,-7.249301000000001
Ayam Goreng Jakarta ,Tidar 3 1 ,112.732943,-7.258006
Ayam Goreng Jakarta ,Kapas Krampung 238 ,112.766789,-7.250972
Ayam Goreng Jakarta ,Raya Mulyasari 119 ,112.7455788,-7.2642396
Ayam Goreng Jakarta ,Manyar 84 ,112.7619257,-7.298019200000001
Ayam Goreng Pemuda ,Pemuda 38 ,112.745312,-7.2644239
Ayam Goreng Pemuda Sungkono ,Mayjen Sungkono 32 B ,112.7116906,-7.2896841
Ayam Goreng Sriwijaya ,Sriwijaya 30 32 ,112.7418518,-7.2798421
Ayam Goreng Sriwijaya ,Jemursari 84 ,112.7541594,-7.315535000000001
Ayam Bakar wong Solo ,Mayjen Sungkono 158 ,112.7112726,-7.289552699999999
Family Cafe ,Raya Nginden 48 ,112.76191,-7.302737
Forum,Margorejo Indah 128 130 ,112.7426465,-7.318127899999999
Halim ,Kertajaya III ,112.750685,-7.2771199
Halim ,Mayjen Sungkono 216 ,112.7086588,-7.288699800000001
Handayani Garden ,Raya Prapen 35 ,112.7560032,-7.3131386
Handayani Garden ,Kertajaya 42 ,112.751873,-7.277847
Ikan Bakar Cianjur ,Mayjen Sungkono 206 208 ,112.7086588,-7.288699800000001
Ikan Bakar Cianjur ,Manyar Kertoarjo V 44 46 48 ,112.76626,-7.280248999999999
Ikan Bakar Cianjur ,Indragiri 23 ,112.73163,-7.2902029
Ria,Kombes M Duryat 7 ,112.738925,-7.268072
Ria Food Garden ,Mayjen Sungkono Bundaran Tol ,112.7455788,-7.2642396
Soto Ayam Sadi Asli cabang ,BarataJaya XIX 91 ,112.759218,-7.304498000000001
Soto Ayam Ambengan Sadi Asli ,Ambengan 3 A ,112.7448999,-7.255596000000001
Ulam,Kombes M Duryat 1 5 ,112.7410019,-7.269365
Venesia Cafe ,Ambengan 16 ,112.74658,-7.2560289
Medan,Kedungsari 19 A ,112.735461,-7.268300999999999
Mahkota,TAIS Nasution 23 25 ,112.744543,-7.26872
Podo Trino ,Tambak Langon 2 4 ,112.664663,-7.225187000000001
Antika I ,Kranggan 23 25 ,112.733544,-7.256024
Antika II ,Dupak 1 ,112.7226855,-7.2336092
